attribute,data_type
CAND_ID,VARCHAR2(9)
CAND_NAME,VARCHAR2(200)
CAND_ICI,VARCHAR2(1)
PTY_CD,VARCHAR2(1)
CAND_PTY_AFFILIATION,VARCHAR2(3)
TTL_RECEIPTS,"Number(14,2)"
TRANS_FROM_AUTH,"Number(14,2)"
TTL_DISB,"Number(14,2)"
TRANS_TO_AUTH,"Number(14,2)"
COH_BOP,"Number(14,2)"
COH_COP,"Number(14,2)"
CAND_CONTRIB,"Number(14,2)"
CAND_LOANS,"Number(14,2)"
OTHER_LOANS,"Number(14,2)"
CAND_LOAN_REPAY,"Number(14,2)"
OTHER_LOAN_REPAY,"Number(14,2)"
DEBTS_OWED_BY,"Number(14,2)"
TTL_INDIV_CONTRIB,"Number(14,2)"
CAND_OFFICE_ST,VARCHAR2(2)
CAND_OFFICE_DISTRICT,VARCHAR2(2)
SPEC_ELECTION,VARCHAR2(1)
PRIM_ELECTION,VARCHAR2(1)
RUN_ELECTION,VARCHAR2(1)
GEN_ELECTION,VARCHAR2(1)
GEN_ELECTION_PRECENT,"Number(7,4)"
OTHER_POL_CMTE_CONTRIB,"Number(14,2)"
POL_PTY_CONTRIB,"Number(14,2)"
CVG_END_DT,DATE
INDIV_REFUNDS,"Number(14,2)"
CMTE_REFUNDS,"Number(14,2)"
