attribute,data_type
CMTE_ID,VARCHAR2(9)
CMTE_NM,VARCHAR2(200)
CMTE_TP,VARCHAR2(1)
CMTE_DSGN,VARCHAR2(1)
CMTE_FILING_FREQ,VARCHAR2(1)
TTL_RECEIPTS,"Number(14,2)"
TRANS_FROM_AFF,"Number(14,2)"
INDV_CONTRIB,"Number(14,2)"
OTHER_POL_CMTE_CONTRIB,"Number(14,2)"
CAND_CONTRIB,"Number(14,2)"
CAND_LOANS,"Number(14,2)"
TTL_LOANS_RECEIVED,"Number(14,2)"
TTL_DISB,"Number(14,2)"
TRANF_TO_AFF,"Number(14,2)"
INDV_REFUNDS,"Number(14,2)"
OTHER_POL_CMTE_REFUNDS,"Number(14,2)"
CAND_LOAN_REPAY,"Number(14,2)"
LOAN_REPAY,"Number(14,2)"
COH_BOP,"Number(14,2)"
COH_COP,"Number(14,2)"
DEBTS_OWED_BY,"Number(14,2)"
NONFED_TRANS_RECEIVED,"Number(14,2)"
CONTRIB_TO_OTHER_CMTE,"Number(14,2)"
IND_EXP,"Number(14,2)"
PTY_COORD_EXP,"Number(14,2)"
NONFED_SHARE_EXP,"Number(14,2)"
CVG_END_DT,DATE
